# op_idx  op_name                          input_shapes -> output_shapes
  69  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  70  DEQUANTIZE                      in=[]  -> out=['32x1x1x24']  consts=['32x1x1x24']
  71  CONV_2D                         in=['1x32x32x24', '32x1x1x24', '32']  -> out=['1x32x32x32']  consts=[]
  72  PAD                             in=['1x32x32x144']  -> out=['1x34x34x144']  consts=['4x2']
  73  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  74  DEQUANTIZE                      in=[]  -> out=['1x3x3x144']  consts=['1x3x3x144']
  75  DEPTHWISE_CONV_2D               in=['1x34x34x144', '1x3x3x144', '144']  -> out=['1x16x16x144']  consts=[]
  76  DEQUANTIZE                      in=[]  -> out=['40x1x1x144']  consts=['40x1x1x144']
  77  DEQUANTIZE                      in=[]  -> out=['40']  consts=['40']
  78  CONV_2D                         in=['1x16x16x144', '40x1x1x144', '40']  -> out=['1x16x16x40']  consts=[]
  79  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
  80  DEQUANTIZE                      in=[]  -> out=['240x1x1x40']  consts=['240x1x1x40']
  81  CONV_2D                         in=['1x16x16x40', '240x1x1x40', '240']  -> out=['1x16x16x240']  consts=[]
  82  DEQUANTIZE                      in=[]  -> out=['1x3x3x240']  consts=['1x3x3x240']
  83  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
  84  DEPTHWISE_CONV_2D               in=['1x16x16x240', '1x3x3x240', '240']  -> out=['1x16x16x240']  consts=[]
  85  DEQUANTIZE                      in=[]  -> out=['40']  consts=['40']
  86  DEQUANTIZE                      in=[]  -> out=['40x1x1x240']  consts=['40x1x1x240']
  87  CONV_2D                         in=['1x16x16x240', '40x1x1x240', '40']  -> out=['1x16x16x40']  consts=[]
  88  ADD                             in=['1x16x16x40', '1x16x16x40']  -> out=['1x16x16x40']  consts=[]
  89  DEQUANTIZE                      in=[]  -> out=['240x1x1x40']  consts=['240x1x1x40']
  90  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
